"filename", "language", "JavaScript", "JSON with Comments", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Temp\Desktop\FES\twitter-clone\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 16, 39
"c:\Users\Temp\Desktop\FES\twitter-clone\components\BottomBanner.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Temp\Desktop\FES\twitter-clone\components\PostsFeed.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Temp\Desktop\FES\twitter-clone\components\Sidebar.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\Temp\Desktop\FES\twitter-clone\components\Trending.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 2, 107
"c:\Users\Temp\Desktop\FES\twitter-clone\components\Tweet.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 7, 148
"c:\Users\Temp\Desktop\FES\twitter-clone\components\TweetInput.js", "JavaScript", 131, 0, 0, 0, 0, 0, 2, 8, 141
"c:\Users\Temp\Desktop\FES\twitter-clone\components\modals\CommentModal.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 3, 123
"c:\Users\Temp\Desktop\FES\twitter-clone\components\modals\LoginModal.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Temp\Desktop\FES\twitter-clone\components\modals\SignUpModal.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 9, 111
"c:\Users\Temp\Desktop\FES\twitter-clone\firebase.js", "JavaScript", 16, 0, 0, 0, 0, 0, 5, 3, 24
"c:\Users\Temp\Desktop\FES\twitter-clone\jsconfig.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 4, 0, 9
"c:\Users\Temp\Desktop\FES\twitter-clone\next.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Temp\Desktop\FES\twitter-clone\package-lock.json", "JSON", 0, 0, 0, 3383, 0, 0, 0, 1, 3384
"c:\Users\Temp\Desktop\FES\twitter-clone\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\Temp\Desktop\FES\twitter-clone\pages\[id].js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 12, 121
"c:\Users\Temp\Desktop\FES\twitter-clone\pages\_app.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Temp\Desktop\FES\twitter-clone\pages\_document.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Temp\Desktop\FES\twitter-clone\pages\api\hello.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Temp\Desktop\FES\twitter-clone\pages\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Temp\Desktop\FES\twitter-clone\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Temp\Desktop\FES\twitter-clone\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Temp\Desktop\FES\twitter-clone\public\thirteen.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Temp\Desktop\FES\twitter-clone\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Temp\Desktop\FES\twitter-clone\redux\modalSlice.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\Temp\Desktop\FES\twitter-clone\redux\store.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Temp\Desktop\FES\twitter-clone\redux\userSlice.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Temp\Desktop\FES\twitter-clone\styles\Home.module.css", "CSS", 0, 0, 236, 0, 0, 0, 5, 38, 279
"c:\Users\Temp\Desktop\FES\twitter-clone\styles\globals.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Temp\Desktop\FES\twitter-clone\tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 1, 15
"Total", "-", 1054, 5, 248, 3413, 23, 3, 20, 141, 4907
